Region;Area
AD17FCL1.1;274316
AD17FCL1.2;364527
AD17FCL2.1;295403
AD17FCL2.2;369700
AD17FCL3.1;211739
AD17FCL3.2;369260
NB5FCL1.1;286897
NB5FCL1.2;293176
NB5FCL1.3;267178
NB5FCL2.1;293176
NB5FCL2.2;293201
NB5FCL2.3;358493
NB5FCL3.1;192336
NB5FCL3.2;260277
NB5FCL3.3;228463
AD19FCL1.1;432709
AD19FCL1.2;359981
AD19FCL1.3;327058
AD19FCL2.1;425917
AD19FCL2.2;385611
AD19FCL2.3;352789
AD19FCL3.1;444784
AD19FCL3.2;371220
NB6OCL1.1;308822
NB6OCL1.3;416216
NB6OCL2.1;380576
NB6OCL2.2;424595
NB6OCL2.3;424410
NB6OCL3.1;424500
NB6OCL3.3;424442
AD11FCL1.1;185607
AD11FCL1.2;229472
AD11FCL2.1;229603
AD11FCL2.2;229603
AD11FCL3.1;187791
AD11FCL3.2;210020
CJD21FCL1.1;245734
CJD21FCL1.2;192815
CJD21FCL2.1;250191
CJD21FCL2.2;239911
CJD21FCL3.1;275915
CJD21FCL3.2;320723
AD12OCL1.1;335123
AD12OCL1.2;267827
AD12OCL2.1;303768
AD12OCL2.2;376437
AD12OCL3.1;351108
AD12OCL3.2;334804
CJD22OCL1.1;373520
CJD22OCL1.2;312451
CJD22OCL1.3;400994
CJD22OCL2.1;373598
CJD22OCL2.2;387706
CJD22OCL2.3;307016
CJD22OCL3.1;437283
CJD22OCL3.2;311479
CJD22OCL3.3;342234
AD13FCL1.1;229322
AD13FCL1.2;229399
AD13FCL1.3;280031
AD13FCL1.4;275202
AD13FCL2.1;265089
AD13FCL2.2;265039
AD13FCL3.1;233141
AD13FCL3.2;249928
CJD23FCL1.1;291020
CJD23FCL1.2;251937
CJD23FCL2.1;291015
CJD23FCL2.2;288512
CJD23FCL2.3;345215
CJD23FCL3.1;254886
CJD23FCL3.2;288556
AD15FCL1.1;278338
AD15FCL1.2;349280
AD15FCL1.3;397141
AD15FCL2.1;429933
AD15FCL2.2;388722
AD15FCL2.3;427929
AD15FCL3.1;312664
AD15FCL3.2;358068
AD15FCL3.3;400866
CJD25FCL1.1;270399
CJD25FCL1.2;297028
CJD25FCL2.1;270403
CJD25FCL2.2;304290
CJD25FCL3.1;271192
CJD25FCL3.2;235538
AD16OCL1.1;426833
AD16OCL1.2;426822
AD16OCL1.3;378081
AD16OCL2.1;426833
AD16OCL2.2;426868
AD16OCL2.3;327297
AD16OCL3.1;426895
AD16OCL3.2;414177
AD16OCL3.3;377943
CJD26OCL1.1;295490
CJD26OCL1.2;355177
CJD26OCL1.3;324677
CJD26OCL2.1;304716
CJD26OCL2.2;341905
CJD26OCL2.3;324677
CJD26OCL3.1;299855
CJD26OCL3.2;325827
CJD26OCL3.3;305683
CJD27FCL1.1;348683
CJD27FCL1.2;382825
CJD27FCL1.3;372712
CJD27FCL2.1;248612
CJD27FCL2.2;252736
CJD27FCL3.1;287487
CJD27FCL3.2;388215
NB1FCL1.1;244995
NB1FCL1.2;222533
NB1FCL1.3;239911
NB1FCL2.1;211150
NB1FCL2.2;240894
NB1FCL3.1;226601
NB1FCL3.2;207134
AD18OCL1.1;385540
AD18OCL1.2;380986
AD18OCL2.1;345574
AD18OCL2.2;347310
AD18OCL3.1;357514
AD18OCL3.2;348350
CJD28OCL1.1;324379
CJD28OCL1.2;348933
CJD28OCL1.3;287127
CJD28OCL1.4;409020
CJD28OCL2.1;313730
CJD28OCL2.2;356666
CJD28OCL2.3;345209
CJD28OCL2.4;408964
CJD28OCL3.1;341804
CJD28OCL3.2;349723
CJD28OCL3.3;300671
CJD28OCL3.4;341536
CJD29FCL1.1;263140
CJD29FCL1.2;194198
CJD29FCL1.3;337330
CJD29FCL2.1;317041
CJD29FCL2.2;215007
CJD29FCL2.3;384981
CJD29FCL3.1;279182
CJD29FCL3.2;316949
CJD29FCL3.3;378541
NB2OCL1.1;387598
NB2OCL1.2;382869
NB2OCL1.3;315316
NB2OCL2.1;387415
NB2OCL2.2;405884
NB2OCL2.3;403206
NB2OCL3.1;387497
NB2OCL3.2;379345
NB2OCL3.3;402892
AD20OCL1.1;326014
AD20OCL1.2;325010
AD20OCL2.1;301057
AD20OCL2.2;283689
AD20OCL3.1;301069
AD20OCL3.2;283744
CJD30OCL1.1;307200
CJD30OCL1.2;376128
CJD30OCL1.3;381446
CJD30OCL2.1;387269
CJD30OCL2.2;385126
CJD30OCL2.3;397790
CJD30OCL3.1;395010
CJD30OCL3.2;384969
CJD30OCL3.3;397776
AD14OCL1.1;403407
AD14OCL1.2;391791
AD14OCL1.3;398882
AD14OCL2.1;406343
AD14OCL2.3;363716
AD14OCL3.1;406326
AD14OCL3.2;389868
CJD24OCL1.1;413597
CJD24OCL1.2;395007
CJD24OCL1.3;414829
CJD24OCL2.1;329515
CJD24OCL2.2;317130
CJD24OCL2.3;329485
CJD24OCL3.1;414975
CJD24OCL3.2;329585
CJD24OCL3.3;329468
